id,name,is_representative,prototypicality,familiarity,valence_raw,arousal_raw,valence,arousal,category,source
E328,지겹다,True,4.76,5.61,2.51,3.2,-0.4967,-0.2667,부정,KSPPA_2005
E329,의심,True,4.1,5.03,2.33,4.3,-0.5567,0.1,부정,KSPPA_2005
E330,지긋지긋하다,False,4.33,5.12,2.1,4.05,-0.6333,0.0167,부정,KSPPA_2005
E331,의아하다,False,3.31,3.45,3.3,4.1,-0.2333,0.0333,부정,KSPPA_2005
E332,지루하다,False,4.72,5.56,2.64,2.14,-0.4533,-0.62,부정,KSPPA_2005
E333,의혹,False,3.34,4.41,2.72,4.51,-0.4267,0.17,부정,KSPPA_2005
E334,지리하다,False,3.18,3.14,2.91,3.07,-0.3633,-0.31,부정,KSPPA_2005
E335,이뻐하다,False,4.73,5.53,5.42,4.29,0.4733,0.0967,긍정,KSPPA_2005
E336,진노하다,False,3.06,3.21,1.97,5.36,-0.6767,0.4533,부정,KSPPA_2005
E337,자괴,False,3.03,2.84,2.27,3.82,-0.5767,-0.06,부정,KSPPA_2005
E338,진저리나다,False,3.94,4.41,2.07,4.67,-0.6433,0.2233,부정,KSPPA_2005
E339,자긍,False,3.94,3.97,5.37,4.48,0.4567,0.16,긍정,KSPPA_2005
E340,질겁하다,False,3.45,3.74,2.45,5.41,-0.5167,0.47,부정,KSPPA_2005
E341,자기혐오,False,3.18,3.71,1.89,4.8,-0.7033,0.2667,부정,KSPPA_2005
E342,질리다,False,4.36,5.03,2.29,3.94,-0.57,-0.02,부정,KSPPA_2005
E343,자랑스럽다,True,5.06,5.55,5.72,4.98,0.5733,0.3267,긍정,KSPPA_2005
E344,질색하다,False,3.73,4.34,2.23,5.07,-0.59,0.3567,부정,KSPPA_2005
E345,자만심,False,4.03,4.88,2.67,4.75,-0.4433,0.25,부정,KSPPA_2005
E346,질투하다,False,4.47,5.38,2.58,5.25,-0.4733,0.4167,부정,KSPPA_2005
E347,자부하다,False,4.13,4.57,5.02,4.02,0.34,0.0067,긍정,KSPPA_2005
E348,짜증내다,False,4.73,5.87,2.06,4.88,-0.6467,0.2933,부정,KSPPA_2005
E349,자신만만하다,False,4.97,5.71,5.28,5.32,0.4267,0.44,긍정,KSPPA_2005
E350,짝사랑하다,False,4.29,5.4,4.28,4.41,0.0933,0.1367,긍정,KSPPA_2005
E351,자족하다,False,4.01,3.97,5.11,3.89,0.37,-0.0367,긍정,KSPPA_2005
E352,찡하다,False,4.9,4.95,4.09,4.67,0.03,0.2233,중립,KSPPA_2005
E353,자책하다,False,3.82,4.4,2.24,4.2,-0.5867,0.0667,부정,KSPPA_2005
E354,착잡하다,False,4.17,4.5,2.83,2.83,-0.39,-0.39,부정,KSPPA_2005
E355,재미있다,True,5.7,6.19,5.72,4.79,0.5733,0.2633,긍정,KSPPA_2005
E356,참담하다,True,4.03,4.25,1.52,3.26,-0.8267,-0.2467,부정,KSPPA_2005
E357,적의,False,3.3,3.69,2.0,4.88,-0.6667,0.2933,부정,KSPPA_2005
E358,창피하다,True,4.76,5.69,2.54,4.2,-0.4867,0.0667,부정,KSPPA_2005
E359,적적하다,False,3.89,3.69,2.94,3.35,-0.3533,-0.2167,부정,KSPPA_2005
E360,처량하다,False,4.25,4.6,2.51,2.81,-0.4967,-0.3967,부정,KSPPA_2005
E361,전전긍긍,False,3.34,4.13,2.7,4.39,-0.4333,0.13,부정,KSPPA_2005
E362,처연하다,False,2.89,2.35,2.85,3.06,-0.3833,-0.3133,부정,KSPPA_2005
E363,절망하다,True,4.18,5.05,1.91,3.86,-0.6967,-0.0467,부정,KSPPA_2005
E364,처절하다,False,3.97,4.69,1.89,4.35,-0.7033,0.1167,부정,KSPPA_2005
E365,절박감,False,4.13,4.52,2.27,5.28,-0.5767,0.4267,부정,KSPPA_2005
E366,처참하다,False,4.34,4.55,1.64,4.5,-0.7867,0.1667,부정,KSPPA_2005
E367,절절하다,False,3.36,3.15,2.69,4.15,-0.4367,0.05,부정,KSPPA_2005
E368,체념하다,False,4.08,4.59,2.47,3.15,-0.51,-0.2833,부정,KSPPA_2005
E369,정감,False,4.97,4.31,5.56,3.44,0.52,-0.1867,긍정,KSPPA_2005
E370,초조하다,True,4.67,5.43,2.74,4.88,-0.42,0.2933,부정,KSPPA_2005
E371,정겹다,True,5.27,5.23,5.56,4.02,0.52,0.0067,긍정,KSPPA_2005
E372,충족감,False,4.26,4.58,5.27,4.15,0.4233,0.05,긍정,KSPPA_2005
E373,측은하다,False,4.17,4.54,3.07,3.4,-0.31,-0.2,부정,KSPPA_2005
E374,허탈하다,False,4.36,4.99,2.67,3.2,-0.4433,-0.2667,부정,KSPPA_2005
E375,치떨리다,False,3.77,4.0,1.8,5.62,-0.7333,0.54,부정,KSPPA_2005
E376,허허롭다,False,2.88,2.69,3.07,3.06,-0.31,-0.3133,부정,KSPPA_2005
E377,치욕스럽다,False,4.18,4.6,1.6,5.85,-0.8,0.6167,부정,KSPPA_2005
E378,혐오하다,False,4.35,5.04,1.8,5.57,-0.7333,0.5233,부정,KSPPA_2005
E379,친애하다,False,3.95,4.22,4.96,4.04,0.32,0.0133,긍정,KSPPA_2005
E380,호감,False,5.62,5.31,5.72,5.03,0.5733,0.3433,긍정,KSPPA_2005
E381,침울하다,False,3.67,4.03,2.03,2.85,-0.6567,-0.3833,부정,KSPPA_2005
E382,혼비백산하다,False,3.44,3.79,2.32,5.98,-0.56,0.66,부정,KSPPA_2005
E383,침통하다,False,3.74,3.73,1.97,4.41,-0.6767,0.1367,부정,KSPPA_2005
E384,홀가분하다,True,5.71,5.18,6.24,3.26,0.7467,-0.2467,긍정,KSPPA_2005
E385,켕기다,False,3.66,4.05,2.59,4.49,-0.47,0.1633,부정,KSPPA_2005
E386,화나다,True,4.86,5.65,2.17,5.91,-0.61,0.6367,부정,KSPPA_2005
E387,코웃음,False,3.34,4.69,2.86,3.92,-0.38,-0.0267,부정,KSPPA_2005
E388,환멸,False,3.49,3.34,1.71,5.62,-0.7633,0.54,부정,KSPPA_2005
E389,쾌감,False,5.31,5.15,5.79,5.91,0.5967,0.6367,긍정,KSPPA_2005
E390,환희,False,4.5,4.7,5.72,5.54,0.5733,0.5133,긍정,KSPPA_2005
E391,태평스럽다,False,3.82,4.44,4.55,2.45,0.1833,-0.5167,긍정,KSPPA_2005
E392,황공하다,False,3.51,3.67,4.25,4.57,0.0833,0.19,긍정,KSPPA_2005
E393,토라지다,False,4.19,4.56,2.7,4.36,-0.4333,0.12,부정,KSPPA_2005
E394,황당하다,True,4.75,5.53,3.3,4.92,-0.2333,0.3067,부정,KSPPA_2005
E395,통분,False,2.91,2.5,2.52,5.51,-0.4933,0.5033,부정,KSPPA_2005
E396,황송하다,False,3.63,3.58,4.07,4.18,0.0233,0.06,중립,KSPPA_2005
E397,통쾌하다,True,5.03,5.45,5.79,5.71,0.5967,0.57,긍정,KSPPA_2005
E398,황홀하다,True,5.3,5.18,5.72,5.14,0.5733,0.38,긍정,KSPPA_2005
E399,통탄하다,False,3.62,3.16,1.83,5.36,-0.7233,0.4533,부정,KSPPA_2005
E400,회개,False,3.19,3.7,3.91,3.58,-0.03,-0.14,중립,KSPPA_2005
E401,통한,False,3.12,3.05,2.16,4.94,-0.6133,0.3133,부정,KSPPA_2005
